name,entity
Corso 12 Rooms and Suites - Roma,CgoIp_qdx9n5ppVzEAE
Hotel Best Roma,CgoIhp7BkaHMwNdhEAE
Kolbe Hotel Rome,CgsIwLrylJWi2ZqoARAB
Hotel Franklin Feel the Sound,CgoI0MKP2aaapOomEAE
Hotel Sistina,CgoIwcKJqduIp8cIEAE
The Liberty Boutique Hotel,CgoI3Nax5cS0m4BZEAE
Eurostars Roma Aeterna,CgoItr20gbHrsKJMEAE
Domus Caesari Hotel - Ristorante Matrimoni,CgsI0aespNGmmv2-ARAB
Gioberti Art Hotel,CgsIwqiHhrHyt_HIARAB
Hotel Zone,CgsIotbMkrbb5bW6ARAB
Relais Orso,CgoI8oSEpJ-9jqlBEAE
Ardeatina Park Hotel,CgoInai29rvu7rQbEAE
Concept Terrace Hotel,CgoIrcfP9Iq6wYpTEAE
Twenty One Hotel,CgoIko3Hv5zVyKZnEAE
Gigli d'Oro Suite Hotel,CgoIjPeO3O3Zm_kfEAE
Rome Life Hotel,CgsI37eTq-vZ3u2SARAB
Hotel Oxford,CgoI_OrP3tXH2up6EAE
Mario de' Fiori 37,CgoIoZK47OvGiqkFEAE
Demetra Hotel Rome,CgsIj9f90My3wdmiARAB
Hotel Memphis,CgsIpbfp68OBt8joARAB
VICO Rooms and Terrace,CgsIgd3i2N2fttr8ARAB
Residenza A The Boutique Art Hotel,CgoIz-XBjN_NqI4ZEAE
Spagna Dream Suites,CgsItcS61ODmq7SCARAB
Best Western Ars Hotel,CgsIj5zfpdHmzvGdARAB
San Carlo Suite,CgsI9-e_5MD-uJGwARAB
The Britannia Hotel,CgoIgoWElrvQoc81EAE
Hotel Pace Helvezia,CgoI8p_LyLj6lLJpEAE
Canova Rooms in Spanish Steps,CgoIiarNuemuhpx7EAE
Pettinary Village,CgoI66X7kODnneoDEAE
NEW HOMS,CgsIpICFs-PAwpyzARAB
Hotel Santa Maura,CgsIkNun-t6Vy93hARAB
Boutique Hotel Trevi,CgoIsfqFw52zrstsEAE
Rome Style Hotel,CgoI3MHnuYmF6rJkEAE
Rione Monti Suites,CgoIxYPh1faK5OklEAE
The Independent Hotel,CgoIsvy1yM6S_fwgEAE
Romanico Palace Luxury Hotel & SPA,CgoIxsOVlsPv39tEEAE
Residenza Scipioni Luxury Rooms,CgsIiNeIm9X1k9uHARAB
Roman Holidays Boutique,CgsIufjh8dbz9t3PARAB
La residentia,CgoIsLeDzrn1u9YtEAE
Aldrovandi Residence City Suites,CgoIz9OxtbyhrrBCEAE
Alba Hotel Torre Maura,CgoIs-qQ3sT3sONGEAE
Martis Palace Hotel Rome,CgoIq83ipZeW-NlyEAE
Smooth Hotel Rome West,CgsIsIPDgrrum7PLARAB
Maison Tritone,CgoIneO5_MCHsp5FEAE
EXE International Palace,CgsIpsbZoZylqb78ARAB
Hotel Condotti,CgsIx5jitsia3OCEARAB
Az Suites S.r.l.,CgoI7YrGso7lgbJvEAE
Guest House Al Conservatorio,CgsIupWnitD1uuPsARAB
B&B Relax,CgoIrv6opeqUyaZ2EAE
Casa per Ferie I Cappuccini,CgsI6PPqsviF_6fkARAB
Camping Village Fabulous,CgsIzPv1hfbG2Nv6ARAB
Best Suites Trevi,CgsIyu3Xg8qnrLzrARAB
Hotel Dharma Style,CgoI_8Ogi-Lbq7MXEAE
Hotel San Giovanni,CgsI-dLUtqT3sNSXARAB
Camera con Vista,CgoI1-v5x4mjndQeEAE
Residenza Ave Roma,CgoIqJSJnbS-r8cYEAE
Village Flaminio,CgsInZKshN27hNDIARAB
Mood Suites Tritone,CgoIqvu12Mndp-ZJEAE
Hotel Ariston,CgoIjfTt24LC8vpQEAE
Residenza Antica Roma,CgsIkOqLmoSo8erRARAB
Relais Fontana Di Trevi,CgsIrqW6mqvkwoDDARAB
Trevi Palace Luxury Inn,CgsIxaqIirbKmpDqARAB
Hotel 55 Fiftyfive,CgoI9oy577C2uY9JEAE
Rose Garden Palace,CgsI7ozhscy3_6rFARAB
Ludovisi Palace Hotel,CgoI9fDn6drPn-pkEAE
Hotel 87 eighty-seven,CgsI-_umiL-L2a7XARAB
Hotel Eliseo,CgoIyKW_vtThv9EjEAE
Ripetta Natural Suites,CgoIj4Pk6ump97VzEAE
Hotel Duca D'Alba,CgoI4tOTraLCxrg_EAE
Tritone Top House,CgoIkv6Jm-HOrvtuEAE
Best Western Hotel Artdeco,CgsIotfotPGH-uDYARAB
Leonardo Boutique Hotel Rome Termini,CgoItvXzmt2huokwEAE
Grand Hotel Palatino,CgoIwLHwzuS56PITEAE
Rome Kings Relais,CgsIotymn8iK2tqfARAB
At Forty-One,CgoI2vDz27i_ivBWEAE
Clarion Collection Hotel Principessa Isabella,CgoI46nq3-uk37xsEAE
Spagna Royal Suite,CgsI17OljqSoqJnuARAB
Napoleon Hotel Roma,CgsIh_HWxfTf1KKUARAB
Mozart Hotel Rome,CgsI78W37fW2qKWTARAB
Residenza Torre Colonna,CgsI0oHyorTFkPXDARAB
